TIEMPO,INVERSION,EXPORTACIONES,IMPORTACIONES,GASTO_PUBLICO,INFLACION,INGRESO_PER_CAPITA,NIVEL_DE_EMPLEO,EXPORTA_NETAS,log_CONSUMO,log_REMESAS,log_PIB,log_GASTO_PUBLICO,log_INVERSION,log_EXPORTA_NETAS,log_INFLACION,log_INGRESO_PER_CAPITA
1/1/2010,22229279.33,22262629.11,22583422.3,10366820.21,3.557417927,5252.028392,0.44677099,-320793.1875,17.7876808,14.7677414,18.18148055,16.1541209,16.91692087,13.41464756,1.588422035,8.566369641
1/1/2011,24390411.94,23706703.46,23426802.6,11304888.55,4.469621516,5604.695792,0.455292968,279900.8544,17.8402926,14.79849892,18.2628898,16.24074581,17.00970066,14.05487059,1.759274272,8.63136006
1/1/2012,34214682.99,24871406.38,23659755.27,12610825.48,5.106469586,5834.573731,0.465328661,1211651.11,17.87577446,14.71847028,18.31911145,16.35006617,17.34816544,14.60496111,1.863315302,8.671556488
1/1/2013,26796583.89,25538896.93,25484768.22,14040795.98,2.727943594,6160.191424,0.478650182,54128.71342,17.92665307,14.71140151,18.38874232,16.45747765,17.10378497,13.85920559,1.402793192,8.725863131
1/1/2014,28068506.03,26766124.2,26936744.34,15150459.26,3.587896766,6325.973427,0.492847526,-170620.1441,17.96139759,14.71637985,18.43013438,16.5335414,17.15015872,13.61695578,1.594627969,8.752419203
1/1/2015,23899800.45,25479967.46,25516230.96,15998610.64,3.968474698,6240.509173,0.46503926,-36263.49343,18.00130229,14.68169419,18.43133058,16.58801244,16.98938067,13.76870351,1.66904062,8.738817056
1/1/2016,12512663.05,24210834.89,22089995.36,15334895.44,1.733343456,6105.711002,0.411898001,2120839.521,17.94121179,14.77177735,18.42442726,16.54564154,16.34225173,14.95057515,1.122310135,8.716979842
1/1/2017,24475564.92,24844929.02,25147686.34,16092597.28,0.418197447,6370.516904,0.422639465,-302757.3247,18.00740928,14.85937751,18.48241688,16.59386993,17.01318583,13.44122092,0.563492039,8.759435892
1/1/2018,24226230,25304707,26295241,16720244,-0.222436624,6316.468841,0.406381749,-990534,18.02797915,14.92426341,18.49280567,16.63213076,17.00294649,0,0.109896493,8.750915603
1/1/2019,22466980,26552001,26569484,16245330,0.266416337,6207.238808,0.388478281,-17483,18.04906487,14.9894309,18.49445835,16.60331604,16.92755723,13.7881928,0.47313341,8.73347144
1/1/2020,16774768.71,25515044.34,21712111.57,15589407.8,-0.338599158,5554.950068,0.304114065,3802932.778,17.93688352,15.02082093,18.39745067,16.56210225,16.63538645,15.38276467,0,8.622444713
1/1/2021,21873029.55,27916104.43,26381910.16,15596697.53,0.141430759,6028.67269,0.339408522,1534194.273,18.04433727,15.28852946,18.49110874,16.56256975,16.90076491,14.7416444,0.392062302,8.704282148
1/1/2022,23990839.34,29950820.86,29140429.63,15878036.11,3.463820984,6329.329259,0.360356351,810391.23,18.11542216,15.37229328,18.55113214,16.58044734,16.99318262,14.40381166,1.569119987,8.752949547
